title,en-US,eng,spa,en-CA,en-GB,ger,fre,grc,ale
'Salem's Lot,4.02,4.058333333333333,NA,NA,NA,NA,NA,NA,NA
1984,NA,4.18,4.18,NA,NA,NA,NA,NA,NA
A Christmas Carol,NA,4.05,NA,4.05,NA,NA,NA,NA,NA
A Little Princess,NA,4.18,NA,NA,4.2,NA,NA,NA,NA
A Midsummer Night's Dream,3.94,3.94,NA,NA,NA,NA,NA,NA,NA
A Passage to India,NA,3.68,NA,NA,3.68,NA,NA,NA,NA
A Random Walk Down Wall Street,4.1,4.1,NA,NA,NA,NA,NA,NA,NA
A Room of One's Own,4.14,4.14,NA,NA,NA,NA,NA,NA,NA
A Streetcar Named Desire,3.98,3.98,NA,NA,NA,NA,NA,NA,NA
A Tale of Two Cities,3.84,3.84,NA,NA,3.84,NA,NA,NA,NA
Act of Treason (Mitch Rapp  #9),4.29,4.29,NA,NA,NA,NA,NA,NA,NA
Alcoholics Anonymous,4.45,4.45,NA,NA,NA,NA,NA,NA,NA
Angels & Demons (Robert Langdon  #1),3.89,3.89,NA,NA,NA,NA,NA,NA,NA
Anna Karenina,4.05,4.05,NA,NA,NA,NA,NA,NA,NA
Are We There Yet?,3.49,3.49,NA,NA,NA,NA,NA,NA,NA
Artemis Fowl (Artemis Fowl  #1),NA,3.84,3.84,NA,NA,3.84,NA,NA,NA
As You Like It,3.83,3.83,NA,NA,NA,NA,NA,NA,NA
At Risk (Winston Garano  #1),3.41,3.41,NA,NA,NA,NA,NA,NA,NA
Atlas Shrugged,3.69,3.69,NA,NA,NA,NA,NA,NA,NA
Bargaining for Advantage: Negotiation Strategies for Reasonable People,3.95,3.95,NA,NA,NA,NA,NA,NA,NA
Black Beauty,3.96,3.96,NA,NA,NA,NA,NA,NA,NA
Blink: The Power of Thinking Without Thinking,3.93,3.93,NA,NA,NA,NA,NA,NA,NA
Carrie,NA,3.96,3.96,NA,NA,NA,NA,NA,NA
Charlotte's Web,4.17,4.17,NA,NA,NA,NA,NA,NA,NA
Choke,NA,3.84,NA,NA,3.7,NA,NA,NA,NA
Crime and Punishment,4.21,4.21,NA,NA,NA,NA,NA,NA,NA
Dark Star Safari: Overland from Cairo to Cape Town,3.96,3.96,NA,NA,NA,NA,NA,NA,NA
Different Seasons,NA,4.35,NA,NA,4.35,NA,NA,NA,NA
Don Quixote,3.87,3.87,NA,NA,NA,NA,NA,NA,NA
Emma,4,4,NA,NA,NA,NA,NA,NA,NA
English Passengers,NA,4.06,NA,NA,4.06,NA,NA,NA,NA
Eugene Onegin,4.09,4.09,NA,NA,NA,NA,NA,NA,NA
Fahrenheit 451,NA,3.99,3.99,NA,NA,NA,NA,NA,NA
Far from the Madding Crowd,NA,3.94,NA,NA,3.94,NA,NA,NA,NA
Ficciones,NA,4.45,4.45,NA,NA,NA,NA,NA,NA
Flowers for Algernon,4.12,4.12,NA,NA,NA,NA,NA,NA,NA
Frankenstein,3.79,3.79,NA,NA,3.79,NA,NA,NA,NA
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,3.97,3.97,NA,NA,NA,NA,NA,NA,NA
Galápagos,NA,3.88,NA,NA,NA,NA,3.88,NA,NA
Girls' Night In,NA,3.63,NA,NA,3.26,NA,NA,NA,NA
Glamorama,NA,3.46,NA,NA,NA,3.46,3.46,NA,NA
Gulliver's Travels,3.57,3.5957142857142856,NA,NA,NA,NA,NA,NA,NA
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,3.97,3.97,NA,NA,NA,NA,NA,NA,NA
How to Win Friends and Influence People,4.19,4.19,NA,NA,NA,NA,NA,NA,NA
Human Traces,3.63,3.63,NA,NA,NA,NA,NA,NA,NA
In the Shadow of Young Girls in Flower (In Search of Lost Time  #2),4.4,4.4,NA,NA,NA,NA,NA,NA,NA
Ivanhoe,3.96,3.75,NA,NA,NA,NA,NA,NA,NA
Jane Austen's Letters,4.16,4.16,NA,NA,NA,NA,NA,NA,NA
Jane Eyre,NA,4.108,NA,NA,NA,4.12,NA,NA,NA
John Adams,4.06,3.9699999999999998,NA,NA,NA,NA,NA,NA,NA
Kafka on the Shore,4.14,4.14,NA,NA,NA,NA,NA,NA,NA
Last Man Standing,NA,4.04,NA,NA,4.04,NA,NA,NA,NA
Les Misérables,4.17,4.213333333333333,NA,NA,NA,NA,NA,NA,NA
Libra,NA,3.99,NA,NA,NA,NA,3.99,NA,NA
Lincoln,NA,4.21,4.21,NA,NA,NA,NA,NA,NA
Lincoln at Gettysburg: The Words That Remade America,4.14,4.14,NA,NA,NA,NA,NA,NA,NA
Lord of the Flies,3.68,3.68,NA,NA,NA,NA,NA,NA,NA
Main Street,3.77,3.77,NA,NA,NA,NA,NA,NA,NA
Malinche,3.28,NA,3.28,NA,NA,NA,NA,NA,NA
Medea,NA,3.87,NA,NA,NA,NA,NA,3.87,NA
Memoirs of a Geisha,4.11,4.11,NA,NA,NA,NA,NA,NA,NA
Message in a Bottle,NA,3.96,NA,NA,3.96,NA,NA,NA,NA
Misery,NA,4.16,4.16,NA,NA,NA,NA,NA,NA
Moby-Dick,3.5,3.605,NA,NA,NA,NA,NA,NA,NA
Mysteries,4.09,4.08,NA,NA,NA,NA,NA,NA,NA
Naked Empire (Sword of Truth  #8),NA,3.81,NA,NA,3.81,NA,NA,NA,NA
Nicomachean Ethics,3.94,3.94,NA,NA,NA,NA,NA,NA,NA
Night Shift,4,4,NA,NA,NA,NA,NA,NA,NA
On the Road,3.63,3.63,NA,NA,NA,NA,NA,NA,NA
Open House,3.9,3.7,NA,NA,3.7,NA,NA,NA,NA
Pedro Páramo,NA,4.05,4.05,NA,NA,4.05,NA,NA,NA
Ready or Not (All-American Girl  #2),3.4,3.4,NA,NA,NA,NA,NA,NA,NA
Robinson Crusoe,3.67,3.67,NA,NA,NA,NA,NA,NA,NA
Romeo and Juliet,3.74,3.74,NA,NA,NA,NA,NA,NA,NA
Sahara (Dirk Pitt  #11),3.96,3.96,3.96,NA,NA,NA,NA,NA,NA
Selected Stories,3.93,4.28,NA,NA,NA,NA,NA,NA,NA
Shield of Thunder (Troy  #2),NA,4.36,NA,NA,NA,NA,NA,NA,4.36
Siddhartha,NA,4.02,NA,NA,NA,NA,4.02,NA,NA
Something Borrowed (Darcy & Rachel  #1),3.85,3.85,NA,NA,NA,NA,NA,NA,NA
Song of Solomon,4.06,4.06,NA,NA,NA,NA,NA,NA,NA
Swann's Way (Remembrance of Things Past  #1),4.14,4.14,NA,NA,NA,NA,NA,NA,NA
Taxi Driver,3.93,4.12,NA,NA,NA,NA,NA,NA,NA
The Actor in You: Sixteen Simple Steps to Understanding the Art of Acting,3.65,3.65,NA,NA,NA,NA,NA,NA,NA
The Art of Loving,3.51,4.04,NA,NA,NA,NA,NA,NA,NA
The Birth of Tragedy,3.98,3.98,NA,NA,NA,NA,NA,NA,NA
The Color of Water: A Black Man's Tribute to His White Mother,4.09,4.09,NA,NA,NA,NA,NA,NA,NA
The Communist Manifesto,3.55,3.55,NA,NA,NA,NA,NA,NA,NA
The Complete Stories,4.22,4.316666666666666,NA,NA,NA,NA,NA,NA,NA
The Consolations of Philosophy,4.01,4.01,NA,NA,NA,NA,NA,NA,NA
The Da Vinci Code (Robert Langdon  #2),3.84,3.84,NA,NA,NA,NA,NA,NA,NA
The Dharma Bums,NA,3.92,NA,NA,3.92,NA,NA,NA,NA
The Divine Comedy,4.07,4.07,NA,NA,NA,NA,NA,NA,NA
The Drama of the Gifted Child: The Search for the True Self,4.09,4.09,NA,NA,NA,NA,NA,NA,NA
The Echo Maker,3.38,3.38,NA,NA,NA,NA,NA,NA,NA
The Enemy (Jack Reacher  #8),4.16,4.16,NA,NA,NA,NA,NA,NA,NA
The Eternity Code (Artemis Fowl  #3),4.04,4.04,NA,NA,NA,NA,NA,NA,NA
The Fabric of the Cosmos: Space  Time and the Texture of Reality,4.11,4.11,NA,NA,NA,NA,NA,NA,NA
The Far Pavilions,4.21,4.21,NA,NA,NA,NA,NA,NA,NA
The Fountainhead,3.87,3.87,NA,NA,NA,NA,NA,NA,NA
The Handmaid's Tale,NA,4.11,NA,NA,4.11,NA,NA,NA,NA
The Histories,3.99,3.99,NA,NA,NA,NA,NA,NA,NA
The Hunchback of Notre-Dame,4,4,NA,NA,NA,NA,NA,NA,NA
The Idiot,4.18,4.18,NA,NA,NA,NA,NA,NA,NA
The Iliad,3.86,3.86,NA,NA,NA,NA,NA,NA,NA
The Known World,3.83,3.83,NA,NA,NA,NA,NA,NA,NA
The Last Kingdom (The Saxon Stories  #1),NA,4.25,NA,NA,4.25,NA,NA,NA,NA
The Lightning Thief (Percy Jackson and the Olympians  #1),4.25,4.25,NA,NA,NA,NA,NA,NA,NA
The Locked Room (The New York Trilogy  #3),3.89,3.89,NA,NA,NA,NA,NA,NA,NA
The Lord of the Rings (The Lord of the Rings  #1-3),4.5,4.5,NA,NA,NA,NA,NA,NA,NA
The Lost Painting,3.74,3.74,NA,NA,NA,NA,NA,NA,NA
The Lovely Bones,3.81,NA,NA,NA,3.81,NA,NA,NA,NA
The Metamorphosis,3.81,3.8,NA,NA,NA,NA,NA,NA,NA
The Mill on the Floss,NA,3.79,NA,NA,3.79,NA,NA,NA,NA
The Moonstone,NA,3.91,NA,NA,3.91,NA,NA,NA,NA
The Odyssey,3.76,3.76,NA,NA,NA,NA,NA,NA,NA
The One Tree (The Second Chronicles of Thomas Covenant  #2),NA,3.98,NA,NA,3.98,NA,NA,NA,NA
The Oresteia,4.02,4.02,NA,NA,NA,NA,NA,NA,NA
The Origin of Consciousness in the Breakdown of the Bicameral Mind,NA,4.25,NA,NA,4.25,NA,NA,NA,NA
The Origin of Species,3.98,3.98,NA,NA,NA,NA,NA,NA,NA
The Pact,NA,4.01,NA,NA,4.01,NA,NA,NA,NA
The Philosophy of History,3.82,3.82,NA,NA,NA,NA,NA,NA,NA
The Picture of Dorian Gray,4.08,4.08,NA,NA,NA,NA,NA,NA,NA
The Pure in Heart (Simon Serrailler  #2),NA,3.92,NA,NA,3.92,NA,NA,NA,NA
The Red Tent,4.17,4.17,NA,NA,NA,NA,NA,NA,NA
The Return of the King (The Lord of the Rings  #3),4.53,4.485,NA,NA,NA,NA,NA,NA,NA
The Scarlet Letter,3.4,3.4,NA,NA,NA,NA,NA,NA,NA
The Secret Garden,NA,4.17,NA,NA,4.13,NA,NA,NA,NA
The Short Stories,4.26,4.23,NA,NA,NA,NA,NA,NA,NA
The Sorrows of Young Werther,3.67,3.67,NA,NA,NA,NA,NA,NA,NA
The Stone Raft,3.8,3.8,NA,NA,NA,NA,NA,NA,NA
The Stranger,3.98,3.53,NA,NA,NA,NA,NA,NA,NA
The Subtle Knife (His Dark Materials  #2),4.13,4.13,NA,NA,NA,NA,NA,NA,NA
The Tale of Genji,3.72,4.05,NA,NA,NA,NA,NA,NA,NA
The Twenty-Seventh City,NA,3.12,NA,NA,3.12,NA,NA,NA,NA
The Valkyries,3.31,3.31,NA,NA,NA,NA,NA,NA,NA
The Voyage of the Jerle Shannara Trilogy (Voyage of the Jerle Shannara  #1-3),NA,4.27,NA,NA,4.27,NA,NA,NA,NA
The Wheel of Darkness (Pendergast  #8),3.93,3.93,NA,NA,NA,NA,NA,NA,NA
The Year of Magical Thinking,3.89,3.89,NA,NA,NA,NA,NA,NA,NA
Their Eyes Were Watching God,3.91,3.91,NA,NA,NA,NA,NA,NA,NA
These Happy Golden Years (Little House  #8),4.19,4.19,NA,NA,NA,NA,NA,NA,NA
To Kill a Mockingbird,4.27,4.27,NA,NA,NA,NA,NA,NA,NA
To Sail Beyond the Sunset,3.87,3.87,NA,NA,NA,NA,NA,NA,NA
To the Lighthouse,3.78,3.78,NA,NA,NA,NA,NA,NA,NA
Trace (Kay Scarpetta  #13),3.78,3.78,NA,NA,NA,NA,NA,NA,NA
Trainspotting,NA,4.03,NA,NA,NA,NA,4.09,NA,NA
Treasure Island,3.83,3.83,NA,NA,NA,NA,NA,NA,NA
Tripwire (Jack Reacher  #3),4.09,4.09,NA,NA,NA,NA,NA,NA,NA
Twelfth Night,NA,3.98,NA,NA,3.98,NA,NA,NA,NA
Ulysses,3.73,3.73,NA,NA,NA,NA,NA,NA,NA
Unacknowledged Legislation: Writers in the Public Sphere,4.01,4.01,NA,NA,NA,NA,NA,NA,NA
V.,NA,3.96,NA,NA,NA,3.96,3.96,NA,NA
War and Peace,4.11,4.11,NA,NA,NA,NA,NA,NA,NA
Watership Down,4.06,4.06,NA,NA,NA,NA,NA,NA,NA
White Fang,4.24,3.98,NA,NA,NA,NA,NA,NA,NA
White Teeth,NA,3.77,NA,NA,3.77,NA,NA,NA,NA
Wide Sargasso Sea,3.58,3.58,NA,NA,NA,NA,NA,NA,NA
